epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1487,0.99712,2.81265,1.3193,0.09299,0.27698,0.01289,0.00476,2.57139,48.3359,4.15069,0.0686111,0.00165205,0.00165205
2,86.3978,0.97826,2.14998,1.29746,0.15869,0.22167,0.1381,0.0916,1.44553,2.88668,2.27738,0.0368913,0.00326561,0.00326561
3,125.214,0.92008,1.94983,1.24843,0.15513,0.16442,0.0488,0.02805,1.603,4.80117,2.38721,0.00511825,0.00482585,0.00482585
4,164.304,0.89801,1.87027,1.22931,0.39795,0.17368,0.12635,0.07568,1.09622,3.14642,1.46911,0.00476,0.00476,0.00476
5,203.026,0.86593,1.77255,1.20354,0.18838,0.52212,0.24808,0.18565,0.8402,1.92307,1.25372,0.00468,0.00468,0.00468
6,241.917,0.80978,1.71132,1.16974,0.22309,0.51561,0.29302,0.22147,0.8553,1.77693,1.27654,0.0046,0.0046,0.0046
7,281.056,0.8017,1.66302,1.15477,0.26525,0.43505,0.29289,0.23029,0.78669,1.99015,1.2269,0.00452,0.00452,0.00452
8,322.679,0.76473,1.61553,1.13613,0.29245,0.47204,0.32621,0.25098,0.77579,1.66918,1.19016,0.00444,0.00444,0.00444
9,365.729,0.75768,1.57224,1.12796,0.35636,0.55328,0.37825,0.29985,0.75027,1.53424,1.18008,0.00436,0.00436,0.00436
10,405.051,0.74448,1.50543,1.11977,0.45258,0.49651,0.44872,0.35429,0.74993,1.4966,1.1575,0.00428,0.00428,0.00428
11,444.372,0.72602,1.4789,1.11113,0.3442,0.59491,0.47857,0.38042,0.73403,1.45225,1.13034,0.0042,0.0042,0.0042
12,484.044,0.72582,1.38986,1.10087,0.36714,0.50184,0.46249,0.37407,0.7313,1.49637,1.14283,0.00412,0.00412,0.00412
13,523.826,0.7111,1.33418,1.09455,0.54891,0.60998,0.56532,0.46486,0.71505,1.2298,1.13659,0.00404,0.00404,0.00404
14,563.781,0.71985,1.29859,1.09243,0.57066,0.59636,0.58606,0.4768,0.723,1.1777,1.12515,0.00396,0.00396,0.00396
15,604.198,0.71024,1.23856,1.09418,0.6596,0.64468,0.66311,0.54918,0.71279,1.13481,1.13259,0.00388,0.00388,0.00388
16,644.459,0.69952,1.17333,1.08035,0.65603,0.66146,0.68802,0.56538,0.71795,1.07255,1.12772,0.0038,0.0038,0.0038
17,684.743,0.68795,1.12105,1.07929,0.83345,0.63345,0.72847,0.6037,0.68351,0.90689,1.11003,0.00372,0.00372,0.00372
18,725.225,0.67048,1.07194,1.06959,0.81455,0.7119,0.80772,0.6702,0.7002,0.80256,1.1176,0.00364,0.00364,0.00364
19,765.773,0.67063,1.03241,1.06387,0.79696,0.69032,0.78887,0.66418,0.66057,0.80428,1.08645,0.00356,0.00356,0.00356
20,807.57,0.66324,0.9895,1.06652,0.88374,0.7381,0.85333,0.71172,0.68766,0.72031,1.11102,0.00348,0.00348,0.00348
21,851.904,0.67605,0.97801,1.06524,0.85543,0.77639,0.85554,0.72595,0.68121,0.68193,1.09747,0.0034,0.0034,0.0034
22,893.18,0.65062,0.92364,1.0569,0.83442,0.72471,0.82873,0.68945,0.70338,0.79228,1.10769,0.00332,0.00332,0.00332
23,934.32,0.65516,0.93264,1.06082,0.86462,0.73655,0.81979,0.69135,0.6635,0.684,1.06966,0.00324,0.00324,0.00324
24,975.587,0.64371,0.90523,1.04649,0.89768,0.76954,0.86566,0.73127,0.65131,0.63039,1.08739,0.00316,0.00316,0.00316
25,1016.8,0.64743,0.89408,1.05442,0.88417,0.80207,0.8806,0.74773,0.6455,0.60034,1.06767,0.00308,0.00308,0.00308
26,1058.75,0.62606,0.84019,1.03852,0.89773,0.80375,0.88466,0.74858,0.63942,0.57719,1.05884,0.003,0.003,0.003
27,1101.84,0.63606,0.86425,1.04898,0.90389,0.79287,0.88506,0.74956,0.63614,0.59077,1.05922,0.00292,0.00292,0.00292
28,1144.78,0.62832,0.84348,1.04509,0.92169,0.80086,0.88361,0.75222,0.6316,0.54182,1.05087,0.00284,0.00284,0.00284
29,1187.31,0.62271,0.82874,1.04426,0.91572,0.80478,0.90294,0.76085,0.62719,0.54017,1.04412,0.00276,0.00276,0.00276
30,1230.13,0.61828,0.79309,1.03332,0.9388,0.79712,0.89551,0.75604,0.63391,0.53058,1.05609,0.00268,0.00268,0.00268
31,1272.13,0.61808,0.7805,1.02602,0.9173,0.8175,0.91496,0.76895,0.63547,0.51512,1.05193,0.0026,0.0026,0.0026
32,1313.01,0.61367,0.80098,1.02945,0.86699,0.84113,0.9112,0.76828,0.6348,0.53138,1.05323,0.00252,0.00252,0.00252
33,1354.23,0.60994,0.77333,1.0274,0.92518,0.82419,0.91742,0.78397,0.62345,0.49134,1.04016,0.00244,0.00244,0.00244
34,1395.32,0.61218,0.76581,1.02843,0.92662,0.84306,0.92302,0.78065,0.63352,0.47558,1.04278,0.00236,0.00236,0.00236
35,1436.34,0.59125,0.75331,1.0191,0.93218,0.83411,0.91641,0.7792,0.61031,0.48807,1.03162,0.00228,0.00228,0.00228
36,1477.48,0.60303,0.74378,1.02336,0.92439,0.83468,0.91933,0.77894,0.61817,0.46371,1.03339,0.0022,0.0022,0.0022
37,1518.62,0.60027,0.73578,1.02083,0.92548,0.82511,0.9066,0.77228,0.61421,0.48452,1.04321,0.00212,0.00212,0.00212
38,1559.76,0.59665,0.72525,1.01752,0.92686,0.83225,0.92209,0.78665,0.60646,0.46089,1.02673,0.00204,0.00204,0.00204
39,1600.85,0.59836,0.72484,1.01735,0.93313,0.85378,0.93688,0.80271,0.60143,0.44386,1.02326,0.00196,0.00196,0.00196
40,1641.97,0.58468,0.71217,1.01099,0.9319,0.83983,0.92846,0.78843,0.62225,0.44497,1.04031,0.00188,0.00188,0.00188
41,1696.86,0.59032,0.49975,1.01023,0.92886,0.86316,0.9402,0.79994,0.60864,0.44447,1.02643,0.0018,0.0018,0.0018
